No,Title,Authors,Year,Venue,Category,DOI,URL,Symplectic_IDs
50,Integrating User Preferences into Gradual Bipolar Argumentation for          Personalised Decision Support,"Elisa Battaglia, Pietro Baroni, Antonio Rago, Francesca Toni",2024,"Scalable Uncertainty Management - 16th International Conference, SUM          2024, Palermo, Italy, November 27-29, 2024, Proceedings",conference,10.1007/978-3-031-76235-2_2,https://doi.org/10.1007/978-3-031-76235-2_2,1405928
51,Interval abstractions for robust counterfactual explanations,"Junqi Jiang, Francesco Leofante, Antonio Rago, Francesca Toni",2024,Artif. Intell.,journal,10.1016/J.ARTINT.2024.104218,https://doi.org/10.1016/j.artint.2024.104218,1383152
52,Learning Brave Assumption-Based Argumentation Frameworks via ASP,"Emanuele De Angelis, Maurizio Proietti, Francesca Toni",2024,"ECAI 2024 - 27th European Conference on Artificial Intelligence,          19-24 October 2024, Santiago de Compostela, Spain - Including 13th          Conference on Prestigious Applications of Intelligent Systems (PAIS          2024)",conference,10.3233/FAIA240896,https://doi.org/10.3233/FAIA240896,1401697
53,Non-flat ABA Is an Instance of Bipolar Argumentation,"Markus Ulbricht, Nico Potyka, Anna Rapberger, Francesca Toni",2024,"Thirty-Eighth AAAI Conference on Artificial Intelligence, AAAI          2024, Thirty-Sixth Conference on Innovative Applications of Artificial          Intelligence, IAAI 2024, Fourteenth Symposium on Educational Advances          in Artificial Intelligence, EAAI 2014, February 20-27, 2024, Vancouver,          Canada",conference,10.1609/AAAI.V38I9.28944,https://doi.org/10.1609/aaai.v38i9.28944,1351580
54,On Computing Admissibility in ABA,"Tuomo Lehtonen, Anna Rapberger, Francesca Toni, Markus Ulbricht, Johannes P. Wallner",2024,"Computational Models of Argument - Proceedings of COMMA 2024, Hagen,          Germany, September 18-20, 2024",conference,10.3233/FAIA240315,https://doi.org/10.3233/FAIA240315,1400685
55,On the Correspondence of Non-flat Assumption-based Argumentation and          Logic Programming with Negation as Failure in the Head,"Anna Rapberger, Markus Ulbricht, Francesca Toni",2024,"Proceedings of the 22nd International Workshop on Nonmonotonic Reasoning          (NMR 2024) co-located with 21st International Conference on Principles          of Knowledge Representation and Reasoning (KR 2024), Hanoi, Vietnam,          November 2-4, 2024",conference,,https://ceur-ws.org/Vol-3835/paper12.pdf,1387376
56,On the Robustness of Argumentative Explanations,"Anna Rapberger, Francesca Toni",2024,"Computational Models of Argument - Proceedings of COMMA 2024, Hagen,          Germany, September 18-20, 2024",conference,10.3233/FAIA240323,https://doi.org/10.3233/FAIA240323,1400684
57,PeerArg: Argumentative Peer Review with LLMs,"Purin Sukpanichnant, Anna Rapberger, Francesca Toni",2024,CoRR,preprint,10.48550/ARXIV.2409.16813,https://doi.org/10.48550/arXiv.2409.16813,1405191
58,Predicting Human Judgement in Online Debates with Argumentation,"Beauty Oluokun, Guilherme Paulino-Passos, Antonio Rago, Francesca Toni",2024,"Proceedings of the 24th Workshop on Computational Models of Natural          Argument co-located with 10th International Conference on Computational          Models of Argument (COMMA 2024), Hagen, Germany, September 17th          2024",conference,,https://ceur-ws.org/Vol-3769/paper9.pdf,1404187
59,Preference-Based Abstract Argumentation for Case-Based Reasoning,"Adam Gould, Guilherme Paulino-Passos, Seema Dadhania, Matthew Williams, Francesca Toni",2024,"Proceedings of the 21st International Conference on Principles of          Knowledge Representation and Reasoning, KR 2024, Hanoi, Vietnam.          November 2-8, 2024",conference,10.24963/KR.2024/37,https://doi.org/10.24963/kr.2024/37,1399356
60,Recourse under Model Multiplicity via Argumentative Ensembling,"Junqi Jiang, Francesco Leofante, Antonio Rago, Francesca Toni",2024,"Proceedings of the 23rd International Conference on Autonomous Agents          and Multiagent Systems, AAMAS 2024, Auckland, New Zealand, May 6-10,          2024",conference,10.5555/3635637.3662950,https://dl.acm.org/doi/10.5555/3635637.3662950,1356576
61,Robust Counterfactual Explanations in Machine Learning: A Survey,"Junqi Jiang, Francesco Leofante, Antonio Rago, Francesca Toni",2024,"Proceedings of the Thirty-Third International Joint Conference on          Artificial Intelligence, IJCAI 2024, Jeju, South Korea, August 3-9,          2024",conference,,https://www.ijcai.org/proceedings/2024/894,1363739
62,Targeted Activation Penalties Help CNNs Ignore Spurious Signals,"Dekai Zhang, Matt Williams, Francesca Toni",2024,"Thirty-Eighth AAAI Conference on Artificial Intelligence, AAAI          2024, Thirty-Sixth Conference on Innovative Applications of Artificial          Intelligence, IAAI 2024, Fourteenth Symposium on Educational Advances          in Artificial Intelligence, EAAI 2014, February 20-27, 2024, Vancouver,          Canada",conference,10.1609/AAAI.V38I15.29610,https://doi.org/10.1609/aaai.v38i15.29610,1353941
63,Towards a Framework for Evaluating Explanations in Automated Fact          Verification,"Neema Kotonya, Francesca Toni",2024,"Proceedings of the 2024 Joint International Conference on Computational          Linguistics, Language Resources and Evaluation, LREC/COLING 2024,          20-25 May, 2024, Torino, Italy",conference,,https://aclanthology.org/2024.lrec-main.1422,1375925
64,A Dataset of Contractual Events in Court Decisions,"Guilherme Paulino-Passos, Ken Satoh, Francesca Toni",2023,"Proceedings of the International Conference on Logic Programming 2023          Workshops co-located with the 39th International Conference on Logic          Programming (ICLP 2023), London, United Kingdom, July 9th and 10th,          2023",conference,,https://ceur-ws.org/Vol-3437/paper3LPLR.pdf,1319536
65,A negation detection assessment of GPTs: analysis with the xNot360          dataset,"Ha-Thanh Nguyen, Randy Goebel, Francesca Toni, Kostas Stathis, Ken Satoh",2023,CoRR,preprint,10.48550/ARXIV.2306.16638,https://doi.org/10.48550/arXiv.2306.16638,1351583
66,A Roadmap for Neuro-argumentative Learning,"Maurizio Proietti, Francesca Toni",2023,"Proceedings of the 17th International Workshop on Neural-Symbolic          Learning and Reasoning, La Certosa di Pontignano, Siena, Italy, July          3-5, 2023",conference,,https://ceur-ws.org/Vol-3432/paper1.pdf,1315862
67,ABA Learning via ASP,"Emanuele De Angelis, Maurizio Proietti, Francesca Toni",2023,"Proceedings 39th International Conference on Logic Programming, ICLP          2023, Imperial College London, UK, 9th July 2023 - 15th July 2023",conference,10.4204/EPTCS.385.1,https://doi.org/10.4204/EPTCS.385.1,1316511
68,ABALearn: An Automated Logic-Based Learning System for ABA Frameworks,"Cristina Tirsi, Maurizio Proietti, Francesca Toni",2023,"AIxIA 2023 - Advances in Artificial Intelligence - XXIInd International          Conference of the Italian Association for Artificial Intelligence,          AIxIA 2023, Rome, Italy, November 6-9, 2023, Proceedings",conference,10.1007/978-3-031-47546-7_1,https://doi.org/10.1007/978-3-031-47546-7_1,1325737
69,Achieving descriptive accuracy in explanations via argumentation:          The case of probabilistic classifiers,"Emanuele Albini, Antonio Rago, Pietro Baroni, Francesca Toni",2023,Frontiers Artif. Intell.,journal,10.3389/FRAI.2023.1099407,https://doi.org/10.3389/frai.2023.1099407,1311814
70,ArguCast: A System for Online Multi-Forecasting with Gradual Argumentation,"Deniz Gorur, Antonio Rago, Francesca Toni",2023,"Proceedings of the First International Workshop on Argumentation and          Applications co-located with 20th International Conference on Principles          of Knowledge Representation and Reasoning (KR 2023), Rhodes, Greece,          September 2-8, 2023",conference,,https://ceur-ws.org/Vol-3472/paper3.pdf,1340178
71,Argument Attribution Explanations in Quantitative Bipolar Argumentation          Frameworks,"Xiang Yin, Nico Potyka, Francesca Toni",2023,"ECAI 2023 - 26th European Conference on Artificial Intelligence,          September 30 - October 4, 2023, Krakow, Poland - Including 12th          Conference on Prestigious Applications of Intelligent Systems (PAIS          2023)",conference,10.3233/FAIA230603,https://doi.org/10.3233/FAIA230603,1324549
72,Argumentative explanations for pattern-based text classifiers,"Piyawat Lertvittayakumjorn, Francesca Toni",2023,Argument Comput.,journal,10.3233/AAC-220004,https://doi.org/10.3233/AAC-220004,1315861
73,Beyond Logic Programming for Legal Reasoning,"Ha-Thanh Nguyen, Francesca Toni, Kostas Stathis, Ken Satoh",2023,"Proceedings of the International Conference on Logic Programming 2023          Workshops co-located with the 39th International Conference on Logic          Programming (ICLP 2023), London, United Kingdom, July 9th and 10th,          2023",conference,,https://ceur-ws.org/Vol-3437/paper2LPLR.pdf,1318275
74,Black-Box Analysis: GPTs Across Time in Legal Textual Entailment Task,"Ha-Thanh Nguyen, Randy Goebel, Francesca Toni, Kostas Stathis, Ken Satoh",2023,CoRR,preprint,10.48550/ARXIV.2309.05501,https://doi.org/10.48550/arXiv.2309.05501,1328527
75,CAFE: Conflict-Aware Feature-wise Explanations,"Adam Dejl, Hamed Ayoobi, Matthew Williams, Francesca Toni",2023,CoRR,preprint,10.48550/ARXIV.2310.20363,https://doi.org/10.48550/arXiv.2310.20363,1351577
76,Causal Discovery and Knowledge Injection for Contestable Neural Networks,"Fabrizio Russo, Francesca Toni",2023,"ECAI 2023 - 26th European Conference on Artificial Intelligence,          September 30 - October 4, 2023, Krakow, Poland - Including 12th          Conference on Prestigious Applications of Intelligent Systems (PAIS          2023)",conference,10.3233/FAIA230495,https://doi.org/10.3233/FAIA230495,1324619
77,DR-HAI: Argumentation-based Dialectical Reconciliation in Human-AI          Interactions,"Stylianos Loukas Vasileiou, Ashwin Kumar, William Yeoh, Tran Cao Son, Francesca Toni",2023,CoRR,preprint,10.48550/ARXIV.2306.14694,https://doi.org/10.48550/arXiv.2306.14694,1317285
78,Explaining Classifiers' Outputs with Causal Models and Argumentation,"Antonio Rago, Fabrizio Russo, Emanuele Albini, Francesca Toni, Pietro Baroni",2023,FLAP,journal,,https://www.collegepublications.co.uk/downloads/ifcolog00059.pdf,1319010
79,Explaining Random Forests Using Bipolar Argumentation and Markov Networks,"Nico Potyka, Xiang Yin, Francesca Toni",2023,"Thirty-Seventh AAAI Conference on Artificial Intelligence, AAAI          2023, Thirty-Fifth Conference on Innovative Applications of Artificial          Intelligence, IAAI 2023, Thirteenth Symposium on Educational Advances          in Artificial Intelligence, EAAI 2023, Washington, DC, USA, February          7-14, 2023",conference,10.1609/AAAI.V37I8.26132,https://doi.org/10.1609/aaai.v37i8.26132,1280395
80,Forecasting with jury-based probabilistic argumentation,"Francesca Toni, Antonio Rago, Kristijonas Cyras",2023,J. Appl. Non Class. Logics,journal,10.1080/11663081.2023.2244716,https://doi.org/10.1080/11663081.2023.2244716,1321249
81,Formalising the Robustness of Counterfactual Explanations for Neural          Networks,"Junqi Jiang, Francesco Leofante, Antonio Rago, Francesca Toni",2023,"Thirty-Seventh AAAI Conference on Artificial Intelligence, AAAI          2023, Thirty-Fifth Conference on Innovative Applications of Artificial          Intelligence, IAAI 2023, Thirteenth Symposium on Educational Advances          in Artificial Intelligence, EAAI 2023, Washington, DC, USA, February          7-14, 2023",conference,10.1609/AAAI.V37I12.26740,https://doi.org/10.1609/aaai.v37i12.26740,1279706
82,How well do SOTA legal reasoning models support abductive reasoning?,"Ha-Thanh Nguyen, Randy Goebel, Francesca Toni, Kostas Stathis, Ken Satoh",2023,"Proceedings of the International Conference on Logic Programming 2023          Workshops co-located with the 39th International Conference on Logic          Programming (ICLP 2023), London, United Kingdom, July 9th and 10th,          2023",conference,,https://ceur-ws.org/Vol-3437/paper1LPLR.pdf,1318276
83,Interactive Explanations by Conflict Resolution via Argumentative          Exchanges,"Antonio Rago, Hengzhi Li, Francesca Toni",2023,"Proceedings of the 20th International Conference on Principles of          Knowledge Representation and Reasoning, KR 2023, Rhodes, Greece,          September 2-8, 2023",conference,10.24963/KR.2023/57,https://doi.org/10.24963/kr.2023/57,1315741
84,Learning Assumption-based Argumentation Frameworks,"Maurizio Proietti, Francesca Toni",2023,CoRR,preprint,10.48550/ARXIV.2305.15921,https://doi.org/10.48550/arXiv.2305.15921,1266119
85,Learning Case Relevance in Case-Based Reasoning with Abstract Argumentation,"Guilherme Paulino-Passos, Francesca Toni",2023,"Legal Knowledge and Information Systems - JURIX 2023: The Thirty-sixth          Annual Conference, Maastricht, The Netherlands, 18-20 December 2023",conference,10.3233/FAIA230950,https://doi.org/10.3233/FAIA230950,1349870
86,ProtoArgNet: Interpretable Image Classification with Super-Prototypes          and Argumentation [Technical Report],"Hamed Ayoobi, Nico Potyka, Francesca Toni",2023,CoRR,preprint,10.48550/ARXIV.2311.15438,https://doi.org/10.48550/arXiv.2311.15438,1353943
87,Provably Robust and Plausible Counterfactual Explanations for Neural          Networks via Robust Optimisation,"Junqi Jiang, Jianglin Lan, Francesco Leofante, Antonio Rago, Francesca Toni",2023,"Asian Conference on Machine Learning, ACML 2023, 11-14 November          2023, Istanbul, Turkey",conference,,https://proceedings.mlr.press/v222/jiang24a.html,1329607
88,Recourse under Model Multiplicity via Argumentative Ensembling (Technical          Report),"Junqi Jiang, Antonio Rago, Francesco Leofante, Francesca Toni",2023,CoRR,preprint,10.48550/ARXIV.2312.15097,https://doi.org/10.48550/arXiv.2312.15097,1360344
89,Shapley-PC: Constraint-based Causal Structure Learning with Shapley          Values,"Fabrizio Russo, Francesca Toni",2023,CoRR,preprint,10.48550/ARXIV.2312.11582,https://doi.org/10.48550/arXiv.2312.11582,1356683
90,SpArX: Sparse Argumentative Explanations for Neural Networks,"Hamed Ayoobi, Nico Potyka, Francesca Toni",2023,"ECAI 2023 - 26th European Conference on Artificial Intelligence,          September 30 - October 4, 2023, Krakow, Poland - Including 12th          Conference on Prestigious Applications of Intelligent Systems (PAIS          2023)",conference,10.3233/FAIA230265,https://doi.org/10.3233/FAIA230265,1290801
91,Technical Report on the Learning of Case Relevance in Case-Based Reasoning          with Abstract Argumentation,"Guilherme Paulino-Passos, Francesca Toni",2023,CoRR,preprint,10.48550/ARXIV.2310.19607,https://doi.org/10.48550/arXiv.2310.19607,1351567
92,Understanding ProbLog as Probabilistic Argumentation,"Francesca Toni, Nico Potyka, Markus Ulbricht, Pietro Totis",2023,"Proceedings 39th International Conference on Logic Programming, ICLP          2023, Imperial College London, UK, 9th July 2023 - 15th July 2023",conference,10.4204/EPTCS.385.18,https://doi.org/10.4204/EPTCS.385.18,1316512
93,Causal Discovery and Injection for Feed-Forward Neural Networks,"Fabrizio Russo, Francesca Toni",2022,CoRR,preprint,10.48550/ARXIV.2205.09787,https://doi.org/10.48550/arXiv.2205.09787,1259237
94,Descriptive Accuracy in Explanations: The Case of Probabilistic Classifiers,"Emanuele Albini, Antonio Rago, Pietro Baroni, Francesca Toni",2022,"Scalable Uncertainty Management - 15th International Conference, SUM          2022, Paris, France, October 17-19, 2022, Proceedings",conference,10.1007/978-3-031-18843-5_19,https://doi.org/10.1007/978-3-031-18843-5_19,1264603
95,Explaining Causal Models with Argumentation: the Case of Bi-variate          Reinforcement,"Antonio Rago, Pietro Baroni, Francesca Toni",2022,"Proceedings of the 19th International Conference on Principles of          Knowledge Representation and Reasoning, KR 2022, Haifa, Israel,          July 31 - August 5, 2022",conference,,https://proceedings.kr.org/2022/52/,1252671
96,GrASP: A Library for Extracting and Exploring Human-Interpretable          Textual Patterns,"Piyawat Lertvittayakumjorn, Leshem Choshen, Eyal Shnarch, Francesca Toni",2022,"Proceedings of the Thirteenth Language Resources and Evaluation Conference,          LREC 2022, Marseille, France, 20-25 June 2022",conference,,https://aclanthology.org/2022.lrec-1.655,1206485
97,On Interactive Explanations as Non-Monotonic Reasoning,"Guilherme Paulino-Passos, Francesca Toni",2022,CoRR,preprint,10.48550/ARXIV.2208.00316,https://doi.org/10.48550/arXiv.2208.00316,1351569
98,On the Tradeoff Between Correctness and Completeness in Argumentative          Explainable AI,"Nico Potyka, Xiang Yin, Francesca Toni",2022,"1st International Workshop on Argumentation for eXplainable AI co-located          with 9th International Conference on Computational Models of Argument          (COMMA 2022), Cardiff, Wales, September 12, 2022",conference,,https://ceur-ws.org/Vol-3209/8151.pdf,1274941
99,Towards a Theory of Faithfulness: Faithful Explanations of Differentiable          Classifiers over Continuous Data,"Nico Potyka, Xiang Yin, Francesca Toni",2022,CoRR,preprint,10.48550/ARXIV.2205.09620,https://doi.org/10.48550/arXiv.2205.09620,1351579
100,Argumentative explanations for interactive recommendations,"Antonio Rago, Oana Cocarascu, Christos Bechlivanidis, David A. Lagnado, Francesca Toni",2021,Artif. Intell.,journal,10.1016/J.ARTINT.2021.103506,https://doi.org/10.1016/j.artint.2021.103506,1207230
101,Forging Argumentative Explanations from Causal Models,"Antonio Rago, Fabrizio Russo, Emanuele Albini, Pietro Baroni, Francesca Toni",2021,"Proceedings of the 5th Workshop on Advances in Argumentation in Artificial          Intelligence 2021 co-located with the 20th International Conference          of the Italian Association for Artificial Intelligence (AIxIA 2021),          Milan, Italy, November 29th, 2021",conference,,https://ceur-ws.org/Vol-3086/paper3.pdf,1249342
102,Neural QBAFs: Explaining Neural Networks Under LRP-Based Argumentation          Frameworks,"Purin Sukpanichnant, Antonio Rago, Piyawat Lertvittayakumjorn, Francesca Toni",2021,"AIxIA 2021 - Advances in Artificial Intelligence - 20th International          Conference of the Italian Association for Artificial Intelligence,          Virtual Event, December 1-3, 2021, Revised Selected Papers",conference,10.1007/978-3-031-08421-8_30,https://doi.org/10.1007/978-3-031-08421-8_30,1267413
